T (C)	Phases vol%-LIQUID-1.0(C/s)	Phases vol%-AUSTENITE-1.0(C/s)	Phases vol%-FERRITE-1.0(C/s)	Phases vol%-MARTENSITE-1.0(C/s)	Phases vol%-BAINITE-1.0(C/s)	Density (g/(cm)^3)-TOTAL-1.0(C/s)	Molar volume (cm^3)-TOTAL-1.0(C/s)	Linear expansion (%)-  -1.0(C/s)	Average expansion coeff. (10e-6 1/K)-  -1.0(C/s)	Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s)	Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s)	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s)	Young's modulus (GPa)-TOTAL-1.0(C/s)	Bulk modulus (GPa)-TOTAL-1.0(C/s)	Shear modulus(GPa)-TOTAL-1.0(C/s)	Poisson's ratio-TOTAL-1.0(C/s)	Liquid viscosity (mPa s)-  -1.0(C/s)	Total viscosity (mPa s)-  -1.0(C/s)	Yield Stress (MPa)-TOTAL-1.0(C/s)	Tensile Stress (MPa)-TOTAL-1.0(C/s)	Hardness (HRC)-TOTAL-1.0(C/s)	Enthalpy (J/g)-TOTAL-1.0(C/s)	Specific heat (J/(g K))-TOTAL-1.0(C/s)	Latent heat (J/g)-FERRITE-1.0(C/s)	Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s)	Latent heat (J/g)-MARTENSITE-1.0(C/s)	Latent heat (J/g)-SOLID-1.0(C/s)	TIME(s)-Cooling_1.0(C/s)
1595.0	100.0	 	 	 	 	6.88588	8.03061	0.0	 	35.52218	1.71368	0.58354	0.0	97.59897	0.0	0.49957	5.64819	5.64819	 	 	 	1345.08185	0.82705	 	 	 	0.0	0.0
1590.0	100.0	 	 	 	 	6.88996	8.02585	-0.0197204	39.44071	35.42881	1.7136	0.58357	0.0	97.77598	0.0	0.49957	5.69069	5.69069	 	 	 	1340.94667	0.82704	 	 	 	0.0	5.0
1585.0	100.0	 	 	 	 	6.89403	8.02112	-0.0393884	39.38844	35.33544	1.71352	0.5836	0.0	97.95299	0.0	0.49957	5.73374	5.73374	 	 	 	1336.81154	0.82703	 	 	 	0.0	10.0
1580.0	100.0	 	 	 	 	6.89809	8.01639	-0.0590043	39.3362	35.24207	1.71343	0.58362	0.0	98.13	0.0	0.49957	5.77735	5.77735	 	 	 	1332.67645	0.82702	 	 	 	0.0	15.0
1575.0	100.0	 	 	 	 	6.90215	8.01168	-0.0785679	39.28396	35.1487	1.71335	0.58365	0.0	98.30701	0.0	0.49957	5.82153	5.82153	 	 	 	1328.54141	0.82701	 	 	 	0.0	20.0
1570.0	100.0	 	 	 	 	6.9062	8.00698	-0.0980793	39.23172	35.05532	1.71326	0.58368	0.0	98.48402	0.0	0.49957	5.8663	5.8663	 	 	 	1324.40641	0.827	 	 	 	0.0	25.0
1565.0	100.0	 	 	 	 	6.91025	8.00229	-0.11754	39.17948	34.96195	1.71318	0.58371	0.0	98.66103	0.0	0.49957	5.91165	5.91165	 	 	 	1320.27146	0.82699	 	 	 	0.0	30.0
1560.0	100.0	 	 	 	 	6.91429	7.99761	-0.13695	39.12725	34.86858	1.7131	0.58374	0.0	98.83804	0.0	0.49957	5.9576	5.9576	 	 	 	1316.13656	0.82698	 	 	 	0.0	35.0
1555.0	100.0	 	 	 	 	6.91832	7.99295	-0.1563	39.07501	34.7752	1.71301	0.58377	0.0	99.01505	0.0	0.49957	6.00417	6.00417	 	 	 	1312.00171	0.82697	 	 	 	0.0	40.0
1550.0	100.0	 	 	 	 	6.92235	7.9883	-0.1756	39.02276	34.68183	1.71292	0.5838	0.0	99.19207	0.0	0.49957	6.05135	6.05135	 	 	 	1307.8669	0.82696	 	 	 	0.0	45.0
1545.0	100.0	 	 	 	 	6.92637	7.98366	-0.19485	38.97053	34.58845	1.71284	0.58383	0.0	99.36908	0.0	0.49957	6.09918	6.09918	 	 	 	1303.73214	0.82695	 	 	 	0.0	50.0
1540.0	100.0	 	 	 	 	6.93039	7.97904	-0.21405	38.91828	34.49508	1.71275	0.58386	0.0	99.54609	0.0	0.49957	6.14764	6.14764	 	 	 	1299.59743	0.82694	 	 	 	0.0	55.0
1535.0	100.0	 	 	 	 	6.9344	7.97442	-0.2332	38.86605	34.4017	1.71266	0.58389	0.0	99.7231	0.0	0.49957	6.19676	6.19676	 	 	 	1295.47984	0.82551	 	 	 	0.0	60.0
1530.0	100.0	 	 	 	 	6.9384	7.96982	-0.25229	38.81381	34.30832	1.71258	0.58392	0.0	99.90011	0.0	0.49957	6.24655	6.24655	 	 	 	1291.35832	0.82306	 	 	 	0.0	65.0
1525.0	100.0	 	 	 	 	6.94239	7.96524	-0.27133	38.76157	34.21494	1.71249	0.58395	0.0	100.07712	0.0	0.49957	6.29703	6.29703	 	 	 	1287.24898	0.82064	 	 	 	0.0	70.0
1520.0	100.0	 	 	 	 	6.94638	7.96066	-0.29032	38.70933	34.12156	1.7124	0.58398	0.0	100.25413	0.0	0.49957	6.34819	6.34819	 	 	 	1283.1517	0.81823	 	 	 	0.0	75.0
1515.0	100.0	 	 	 	 	6.95037	7.9561	-0.30926	38.65709	34.02818	1.71231	0.58401	0.0	100.43114	0.0	0.49957	6.40006	6.40006	 	 	 	1279.06639	0.81585	 	 	 	0.0	80.0
1510.0	100.0	 	 	 	 	6.95434	7.95155	-0.32814	38.60485	33.9348	1.71222	0.58404	0.0	100.60815	0.0	0.49957	6.45264	6.45264	 	 	 	1274.99294	0.81349	 	 	 	0.0	85.0
1505.0	93.71943	 	6.28057	 	 	6.97388	7.92927	-0.4206	46.73348	33.94907	1.7067	0.58592	5.01092E-4	96.59894	1.68145E-4	0.49006	6.4866	7.0955	 	 	 	1255.14402	10.65402	 	 	 	0.0	90.0
1500.0	76.91186	 	23.08814	 	 	7.01914	7.87815	-0.6328	66.61063	34.14543	1.69212	0.59098	0.0927336	85.64247	0.0316593	0.46456	6.47668	15.21111	 	 	 	1209.44655	7.81932	 	 	 	15.78721	95.0
1495.0	64.45325	 	35.54675	 	 	7.0532	7.8401	-0.79073	79.07327	34.27028	1.6812	0.59481	0.52794	77.65843	0.18261	0.44558	6.46756	47.16211	 	 	 	1175.18201	5.99966	 	 	 	57.43463	100.0
1490.0	54.89925	 	45.10075	 	 	7.07979	7.81066	-0.91294	86.94649	34.3481	1.67265	0.59785	1.3861	71.65794	0.48433	0.43096	6.45928	109.78001	 	 	 	1148.43031	4.77252	 	 	 	87.66066	105.0
1485.0	41.48237	43.93946	14.57817	 	 	7.12737	7.75852	-1.12937	102.66971	34.4993	1.66059	0.60219	2.49984	79.56905	0.87715	0.42498	6.46065	422.59634	 	 	 	1102.58763	21.65841	 	 	 	110.38531	110.0
1480.0	31.24505	68.75495	 	 	 	7.16206	7.72093	-1.28538	111.77191	34.59789	1.65115	0.60564	12.64158	85.46645	4.45971	0.41731	6.45189	894.92126	 	 	 	1069.38628	4.42159	 	 	 	152.21228	115.0
1475.0	24.8053	75.1947	 	 	 	7.18242	7.69905	-1.37622	114.68478	34.62927	1.64495	0.60792	18.28818	84.50278	6.48848	0.40928	6.44068	1312.98028	 	 	 	1049.62344	3.54445	 	 	 	181.40917	120.0
1470.0	19.78801	80.21199	 	 	 	7.19881	7.68152	-1.44897	115.91778	34.63749	1.63986	0.60981	23.93746	83.90865	8.53129	0.40292	6.43206	1753.0767	 	 	 	1033.64645	2.89462	 	 	 	197.1787	125.0
1465.0	15.85097	84.14903	 	 	 	7.21218	7.66728	-1.50808	116.0062	34.62868	1.63557	0.61141	29.30084	83.58441	10.48077	0.39784	6.42563	2198.44774	 	 	 	1020.50599	2.40188	 	 	 	209.17344	130.0
1460.0	11.38484	88.61516	 	 	 	7.23108	7.6478	-1.58896	117.70078	34.62568	1.63101	0.61312	36.42086	83.22501	13.08077	0.39215	6.42641	2786.95527	 	 	 	1005.85205	3.36943	 	 	 	218.34261	135.0
1455.0	6.78001	93.21999	 	 	 	7.25251	7.62604	-1.67926	119.94718	34.6225	1.62645	0.61484	45.08421	82.90355	16.26078	0.38629	6.43889	3508.42002	 	 	 	990.90499	2.6942	 	 	 	229.03612	140.0
1450.0	3.25637	96.74363	 	 	 	7.26906	7.60928	-1.74885	120.6102	34.6038	1.62262	0.61629	52.8405	82.80811	19.122	0.38167	6.45968	4202.84474	 	 	 	978.92913	2.18201	 	 	 	240.03353	145.0
1445.0	0.59367	99.40633	 	 	 	7.28182	7.59635	-1.8025	120.16687	34.57379	1.61932	0.61754	59.48938	82.87773	21.58457	0.37805	6.48901	4858.35268	 	 	 	969.26167	1.77764	 	 	 	248.07043	150.0
1440.0	 	100.0	 	 	 	7.2867	7.59137	-1.82319	117.62511	34.51935	1.61715	0.61837	61.47131	83.30177	22.32056	0.37701	 	5226.83337	 	 	 	964.42562	0.70084	 	 	 	253.80952	155.0
1435.0	 	100.0	 	 	 	7.28938	7.58858	-1.83473	114.67071	34.458	1.6153	0.61908	62.00393	83.82359	22.51876	0.37672	 	5513.80034	 	 	 	960.9299	0.69987	 	 	 	 	160.0
1430.0	 	100.0	 	 	 	7.29206	7.58581	-1.84625	111.89401	34.39664	1.61345	0.61979	62.53623	84.34243	22.71692	0.37642	 	5818.34911	 	 	 	957.43894	0.699	 	 	 	 	165.0
1425.0	 	100.0	 	 	 	7.29474	7.58304	-1.85775	109.27939	34.33528	1.61158	0.62051	63.06819	84.8583	22.91505	0.37613	 	6141.66401	 	 	 	953.95272	0.69805	 	 	 	 	170.0
1420.0	 	100.0	 	 	 	7.29741	7.58027	-1.86923	106.813	34.27392	1.60972	0.62123	63.59982	85.37123	23.11314	0.37584	 	6485.01642	 	 	 	950.47122	0.6971	 	 	 	 	175.0
1415.0	 	100.0	 	 	 	7.30008	7.57751	-1.88069	104.48251	34.21255	1.60784	0.62195	64.13112	85.88124	23.3112	0.37554	 	6849.77167	 	 	 	946.99439	0.69616	 	 	 	 	180.0
1410.0	 	100.0	 	 	 	7.30275	7.57476	-1.89212	102.27696	34.15118	1.60596	0.62268	64.66209	86.38836	23.50923	0.37525	 	7237.3959	 	 	 	943.52223	0.69523	 	 	 	 	185.0
1405.0	 	100.0	 	 	 	7.30541	7.57201	-1.90354	100.18651	34.0898	1.60407	0.62341	65.19273	86.8926	23.70722	0.37496	 	7649.46489	 	 	 	940.05472	0.6943	 	 	 	 	190.0
1400.0	 	100.0	 	 	 	7.30808	7.56926	-1.91495	98.20233	34.02842	1.60218	0.62415	65.72304	87.39399	23.90517	0.37466	 	8087.6722	 	 	 	936.59182	0.69337	 	 	 	 	195.0
1395.0	 	100.0	 	 	 	7.31073	7.56652	-1.92633	96.31649	33.96703	1.60028	0.62489	66.25301	87.89254	24.10309	0.37437	 	8553.83911	 	 	 	933.13351	0.69245	 	 	 	 	200.0
1390.0	 	100.0	 	 	 	7.31339	7.56378	-1.9377	94.52181	33.90564	1.59837	0.62564	66.78266	88.38828	24.30098	0.37407	 	9049.92488	 	 	 	929.67978	0.69153	 	 	 	 	205.0
1385.0	 	100.0	 	 	 	7.31604	7.56104	-1.94905	92.81182	33.84424	1.59646	0.62639	67.31197	88.88123	24.49883	0.37378	 	9578.03819	 	 	 	926.23061	0.69062	 	 	 	 	210.0
1380.0	 	100.0	 	 	 	7.3187	7.55831	-1.96038	91.18062	33.78285	1.59453	0.62714	67.84095	89.37141	24.69665	0.37348	 	10140.44865	 	 	 	922.78596	0.68971	 	 	 	 	215.0
1375.0	 	100.0	 	 	 	7.32135	7.55559	-1.9717	89.62288	33.72145	1.59261	0.6279	68.3696	89.85884	24.89443	0.37319	 	10739.60102	 	 	 	919.34582	0.68881	 	 	 	 	220.0
1370.0	 	100.0	 	 	 	7.32399	7.55286	-1.98301	88.13371	33.66004	1.59067	0.62867	68.89793	90.34353	25.09218	0.3729	 	11378.12989	 	 	 	915.91018	0.68791	 	 	 	 	225.0
1365.0	 	100.0	 	 	 	7.32664	7.55014	-1.9943	86.70866	33.59863	1.58873	0.62943	69.42592	90.82552	25.28989	0.3726	 	12058.87385	 	 	 	912.47901	0.68701	 	 	 	 	230.0
1360.0	 	100.0	 	 	 	7.32928	7.54743	-2.00558	85.34367	33.53722	1.58678	0.63021	69.95358	91.30482	25.48757	0.37231	 	12784.89501	 	 	 	909.0523	0.68612	 	 	 	 	235.0
1355.0	 	100.0	 	 	 	7.33193	7.54471	-2.01684	84.03499	33.47581	1.58482	0.63098	70.4809	91.78144	25.68521	0.37201	 	13559.49618	 	 	 	905.63003	0.68523	 	 	 	 	240.0
1350.0	 	100.0	 	 	 	7.33457	7.542	-2.02809	82.77921	33.41439	1.58286	0.63177	71.0079	92.25542	25.88282	0.37172	 	14386.24119	 	 	 	902.21218	0.68434	 	 	 	 	245.0
1345.0	 	100.0	 	 	 	7.33721	7.53929	-2.03933	81.57319	33.35297	1.58089	0.63255	71.53457	92.72676	26.0804	0.37142	 	15268.97986	 	 	 	898.79874	0.68327	 	 	 	 	250.0
1340.0	 	100.0	 	 	 	7.33985	7.53659	-2.05056	80.41396	33.29154	1.57891	0.63335	72.06091	93.19549	26.27794	0.37113	 	16211.86628	 	 	 	895.3897	0.68239	 	 	 	 	255.0
1335.0	 	100.0	 	 	 	7.34249	7.53389	-2.06177	79.29886	33.23012	1.57693	0.63414	72.58691	93.66163	26.47544	0.37083	 	17219.39347	 	 	 	891.98503	0.68151	 	 	 	 	260.0
1330.0	 	100.0	 	 	 	7.34512	7.53119	-2.07297	78.22541	33.16869	1.57494	0.63495	73.11259	94.12519	26.67291	0.37054	 	18296.41654	 	 	 	888.58474	0.68063	 	 	 	 	265.0
1325.0	 	100.0	 	 	 	7.34776	7.52849	-2.08417	77.19132	33.10726	1.57294	0.63575	73.63793	94.58619	26.87034	0.37025	 	19448.1862	 	 	 	885.18879	0.67976	 	 	 	 	270.0
1320.0	 	100.0	 	 	 	7.35039	7.5258	-2.09535	76.19445	33.04582	1.57093	0.63656	74.16295	95.04466	27.06774	0.36995	 	20680.38435	 	 	 	881.7972	0.67889	 	 	 	 	275.0
1315.0	 	100.0	 	 	 	7.35303	7.52311	-2.10652	75.23282	32.98439	1.56892	0.63738	74.68763	95.5006	27.26511	0.36966	 	21999.16097	 	 	 	878.40993	0.67802	 	 	 	 	280.0
1310.0	 	100.0	 	 	 	7.35566	7.52042	-2.11768	74.30458	32.92295	1.5669	0.6382	75.21199	95.95404	27.46244	0.36936	 	23411.17552	 	 	 	875.02699	0.67715	 	 	 	 	285.0
1305.0	 	100.0	 	 	 	7.35829	7.51773	-2.12883	73.40802	32.8615	1.56487	0.63903	75.73601	96.40499	27.65973	0.36907	 	24923.64391	 	 	 	871.64836	0.67629	 	 	 	 	290.0
1300.0	 	100.0	 	 	 	7.36093	7.51505	-2.13998	72.54155	32.80006	1.56284	0.63986	76.25971	96.85348	27.85699	0.36877	 	26544.38642	 	 	 	868.27403	0.67542	 	 	 	 	295.0
1295.0	 	100.0	 	 	 	7.36356	7.51236	-2.15111	71.70365	32.73861	1.56079	0.6407	76.78307	97.29952	28.05422	0.36848	 	28281.88382	 	 	 	864.904	0.67456	 	 	 	 	300.0
1290.0	 	100.0	 	 	 	7.36619	7.50968	-2.16223	70.89295	32.67716	1.55874	0.64154	77.3061	97.74313	28.25141	0.36818	 	30145.33748	 	 	 	861.53826	0.6737	 	 	 	 	305.0
1285.0	 	100.0	 	 	 	7.36882	7.50701	-2.17335	70.10813	32.61571	1.55668	0.64239	77.82881	98.18432	28.44856	0.36789	 	32144.73327	 	 	 	858.17679	0.67284	 	 	 	 	310.0
1280.0	 	100.0	 	 	 	7.37145	7.50433	-2.18446	69.34796	32.55426	1.55462	0.64325	78.35118	98.62311	28.64568	0.36759	 	34290.91554	 	 	 	854.81961	0.67198	 	 	 	 	315.0
1275.0	 	100.0	 	 	 	7.37408	7.50165	-2.19556	68.61131	32.49281	1.55254	0.6441	78.87323	99.05951	28.84277	0.3673	 	36595.66655	 	 	 	851.46669	0.67113	 	 	 	 	320.0
1270.0	 	100.0	 	 	 	7.37671	7.49898	-2.20666	67.89709	32.43135	1.55046	0.64497	79.39494	99.49356	29.03981	0.367	 	39071.79052	 	 	 	848.11804	0.67027	 	 	 	 	325.0
1265.0	 	100.0	 	 	 	7.37935	7.49631	-2.21774	67.20429	32.36989	1.54837	0.64584	79.91633	99.92525	29.23683	0.36671	 	41733.21482	 	 	 	844.77365	0.66941	 	 	 	 	330.0
1260.0	 	100.0	 	 	 	7.38198	7.49364	-2.22882	66.53197	32.30843	1.54627	0.64672	80.43738	100.35461	29.43381	0.36641	 	44595.08877	 	 	 	841.43351	0.66856	 	 	 	 	335.0
1255.0	 	100.0	 	 	 	7.38461	7.49097	-2.23989	65.87921	32.24697	1.54417	0.6476	80.95811	100.78166	29.63075	0.36612	 	47673.90654	 	 	 	838.09763	0.6677	 	 	 	 	340.0
1250.0	 	100.0	 	 	 	7.38724	7.48831	-2.25096	65.24518	32.1855	1.54206	0.64848	81.47851	101.2064	29.82766	0.36582	 	50987.62728	 	 	 	834.76601	0.66685	 	 	 	 	345.0
1245.0	 	100.0	 	 	 	7.38987	7.48564	-2.26202	64.62909	32.12404	1.53993	0.64938	81.99858	101.62886	30.02454	0.36553	 	54555.82253	 	 	 	831.43863	0.666	 	 	 	 	350.0
1240.0	 	100.0	 	 	 	7.3925	7.48298	-2.27307	64.03017	32.06257	1.53781	0.65028	82.51832	102.04905	30.22138	0.36523	 	58399.82734	 	 	 	828.1154	0.66518	 	 	 	 	355.0
1235.0	 	100.0	 	 	 	7.39513	7.48032	-2.28412	63.44772	32.0011	1.53567	0.65118	83.03773	102.46698	30.41818	0.36494	 	62542.9121	 	 	 	824.79625	0.66436	 	 	 	 	360.0
1230.0	 	100.0	 	 	 	7.39777	7.47766	-2.29515	62.88091	31.9399	1.53351	0.6521	83.55647	102.88276	30.61481	0.36464	 	67018.09224	 	 	 	821.46214	0.67042	 	 	 	 	365.0
1225.0	 	100.0	 	 	 	7.40041	7.47501	-2.30618	62.32909	31.87895	1.53133	0.65303	84.07458	103.29641	30.81128	0.36435	 	71854.68004	 	 	 	818.11352	0.66938	 	 	 	 	370.0
